id,price,weekly_price,monthly_price
371862,$99.00,,
372879,$80.00,,
373070,$102.00,$850.00,"$2,500.00"
374935,$114.00,$690.00,
375058,$110.00,$790.00,"$2,100.00"
376034,$110.00,$850.00,"$2,500.00"
377276,$80.00,$550.00,"$1,100.00"
378233,$120.00,$750.00,
378714,$69.00,$623.00,"$2,600.00"
380239,$80.00,$400.00,"$1,400.00"
380500,$73.00,$434.00,"$1,533.00"
383284,$65.00,$475.00,"$1,350.00"
383550,$60.00,,
383975,$110.00,,
384990,$119.00,,
386220,$80.00,$630.00,"$1,850.00"
387467,$50.00,$335.00,
387541,$115.00,,
390984,$140.00,$840.00,"$2,600.00"
391189,$57.00,$380.00,
392431,$150.00,$900.00,"$3,000.00"
393289,$125.00,,
393434,$88.00,$615.00,
393722,$130.00,$650.00,
395110,$40.00,$345.00,
395585,$185.00,,
396355,$125.00,,
396600,$119.00,,
396824,$59.00,,
397652,$200.00,"$1,750.00","$3,500.00"
397673,$120.00,$900.00,
397753,$55.00,"$1,000.00","$1,600.00"
398860,$200.00,,
400221,$70.00,,
400471,$80.00,$600.00,
400709,$243.00,,
401344,$129.00,$900.00,"$2,500.00"
401569,$75.00,$475.00,"$1,200.00"
401887,$168.00,,
402413,$150.00,,
402516,$190.00,,"$4,000.00"
403522,$110.00,$600.00,"$2,100.00"
404141,$47.00,$800.00,"$2,000.00"
404374,$195.00,$865.00,"$2,500.00"
404530,$115.00,$520.00,"$1,800.00"
404717,$120.00,$800.00,"$2,500.00"
405212,$100.00,,
405672,$100.00,,
405847,$52.00,,"$1,510.00"
406852,$269.00,"$2,100.00","$5,000.00"
406891,$39.00,,
406902,$100.00,$600.00,"$2,000.00"
407273,$200.00,"$1,400.00","$3,200.00"
407428,$90.00,$700.00,"$2,000.00"
407501,$45.00,$350.00,
407502,$45.00,$400.00,
407579,$290.00,"$2,100.00","$7,000.00"
408145,$41.00,,
408172,$69.00,,
409039,$80.00,$550.00,"$2,000.00"
409112,$49.00,$370.00,"$1,000.00"
409618,$146.00,$830.00,"$1,845.00"
409638,$175.00,,
410242,$320.00,"$1,850.00","$4,000.00"
411055,$40.00,,$680.00
411911,$75.00,$500.00,"$1,000.00"
412016,$35.00,$270.00,$800.00
412350,$30.00,$300.00,$800.00
412379,$60.00,$400.00,"$1,500.00"
413159,$100.00,$800.00,"$2,400.00"
413179,$84.00,,"$1,800.00"
413674,$84.00,$585.00,"$2,000.00"
414097,$90.00,$550.00,"$2,000.00"
414390,$100.00,$650.00,"$2,400.00"
414605,$105.00,$700.00,"$2,300.00"
415041,$130.00,$800.00,"$3,000.00"
416091,$40.00,,
416129,$135.00,$900.00,"$2,400.00"
417214,$250.00,"$1,500.00","$4,500.00"
417445,$91.00,$650.00,"$2,750.00"
417641,$73.00,$350.00,"$1,050.00"
418557,$39.00,$300.00,$900.00
418797,$99.00,$690.00,"$1,900.00"
419721,$80.00,$510.00,"$2,105.00"
419747,$181.00,,
419757,$125.00,$540.00,"$1,950.00"
419758,$125.00,$840.00,"$2,650.00"
419840,$170.00,$900.00,"$2,800.00"
422107,$90.00,$375.00,
422295,$95.00,,
422340,$60.00,$400.00,
422409,$150.00,,
422698,$105.00,$630.00,"$1,400.00"
423502,$313.00,"$2,000.00",
423770,$150.00,,"$4,500.00"
424737,$90.00,$598.00,"$2,000.00"
425908,$56.00,$350.00,"$1,400.00"
427512,$49.00,$360.00,"$1,200.00"
428594,$100.00,$700.00,"$2,500.00"
429194,$129.00,$850.00,
429264,$170.00,,
429331,$105.00,,
429424,$157.00,"$1,100.00","$3,500.00"
429716,$125.00,$875.00,
431420,$50.00,,
432537,$349.00,"$2,000.00","$7,000.00"
432800,$60.00,$300.00,
432812,$160.00,"$1,100.00","$4,000.00"
434622,$61.00,$354.00,"$1,200.00"
434658,$230.00,"$1,200.00","$4,000.00"
434678,$74.00,$490.00,"$1,350.00"
434981,$105.00,$700.00,"$2,600.00"
436226,$70.00,,
436357,$68.00,$500.00,
436362,$32.00,$200.00,$700.00
436478,$115.00,$680.00,"$3,000.00"
436674,$70.00,$430.00,"$1,250.00"
436721,$130.00,,
436955,$64.00,$430.00,"$1,470.00"
440257,$70.00,,
440399,$70.00,,
440423,$95.00,$550.00,"$1,530.00"
440466,$79.00,$600.00,"$1,600.00"
440509,$106.00,,
440717,$90.00,$600.00,
440849,$95.00,$650.00,"$2,100.00"
440959,$99.00,$521.00,"$1,668.00"
440985,$90.00,$650.00,"$2,000.00"
441972,$37.00,$235.00,
443234,$110.00,$500.00,
443598,$75.00,$300.00,$700.00
445253,$80.00,$550.00,"$2,000.00"
445349,$85.00,$700.00,"$2,200.00"
446536,$50.00,$550.00,"$1,300.00"
447208,$120.00,"$1,218.00","$2,990.00"
448894,$50.00,$350.00,
449093,$119.00,"$1,100.00",
449296,$53.00,$400.00,"$1,350.00"
449988,$80.00,$601.00,"$1,802.00"
450134,$50.00,,
450398,$185.00,,
451293,$350.00,"$2,240.00","$8,000.00"
451629,$115.00,$750.00,"$2,800.00"
452481,$60.00,$411.00,"$1,000.00"
452822,$105.00,,
453168,$210.00,,
453689,$170.00,"$1,000.00","$4,000.00"
453823,$85.00,$500.00,"$1,300.00"
455196,$55.00,$340.00,"$1,000.00"
455235,$130.00,$800.00,
455974,$56.00,$413.00,$860.00
456179,$150.00,$950.00,"$2,850.00"
457096,$75.00,$450.00,"$1,500.00"
457440,$60.00,$320.00,$850.00
458499,$80.00,$340.00,
458673,$115.00,$800.00,"$2,070.00"
458703,$68.00,$600.00,"$2,300.00"
458807,$65.00,$500.00,
458986,$90.00,$560.00,"$2,000.00"
459184,$155.00,$850.00,"$2,600.00"
459950,$150.00,,
460301,$227.00,"$1,395.00","$2,710.00"
461018,$60.00,,
461131,$75.00,$750.00,"$2,500.00"
461380,$99.00,,
461860,$63.00,,
