id,room_type,minimum_nights,number_of_reviews,host_listings_count,availability_30,availability_60,availability_90,availability_365,neighbourhood
639360,Entire home/apt,5,209,1.0,0,0,0,0,Le Marais
642234,Entire home/apt,6,3,1.0,0,0,0,0,
645862,Private room,6,22,1.0,0,0,0,0,Buttes-Chaumont - Belleville
648856,Private room,2,0,1.0,0,0,0,0,XI Arrondissement
649036,Entire home/apt,2,12,1.0,0,0,0,0,Republique
649804,Entire home/apt,3,0,1.0,0,0,0,0,XI Arrondissement
650493,Entire home/apt,2,11,1.0,0,0,0,0,Bastille
650758,Entire home/apt,3,183,1.0,0,0,0,0,Montmartre
653344,Entire home/apt,1,7,1.0,0,0,0,0,Palais Royal
654314,Entire home/apt,4,10,1.0,0,0,0,0,Porte de Versailles
657929,Entire home/apt,4,1,1.0,0,0,0,0,Pigalle - Saint-Georges
658300,Entire home/apt,7,1,1.0,0,0,0,0,XI Arrondissement
658426,Entire home/apt,3,5,1.0,0,0,0,0,Alesia
661365,Entire home/apt,2,33,1.0,0,0,0,0,Republique
666289,Entire home/apt,2,80,1.0,0,0,0,0,Chatelet - Les Halles - Beaubourg
667148,Entire home/apt,7,1,1.0,0,0,0,0,Republique
672826,Entire home/apt,6,3,1.0,0,0,0,0,Republique
673495,Entire home/apt,1,8,1.0,0,0,0,0,Nation
674148,Entire home/apt,3,4,1.0,0,0,0,0,La Chapelle
675171,Private room,2,26,1.0,0,0,0,0,La Chapelle
675467,Entire home/apt,4,21,1.0,0,0,0,0,Bastille
675626,Entire home/apt,2,0,1.0,0,0,0,0,Buttes-Chaumont - Belleville
676347,Entire home/apt,2,16,1.0,0,0,0,0,Batignolles
677903,Entire home/apt,2,52,1.0,0,0,0,0,Pigalle - Saint-Georges
678196,Entire home/apt,2,2,1.0,0,0,0,0,Republique
679650,Entire home/apt,3,4,1.0,0,0,0,0,Bastille
683889,Entire home/apt,5,7,1.0,0,0,0,0,Commerce - Dupleix
684231,Entire home/apt,7,7,1.0,0,0,0,0,Montmartre
686459,Entire home/apt,7,34,1.0,0,0,0,0,
689923,Entire home/apt,7,1,1.0,0,0,0,0,Republique
693075,Entire home/apt,6,5,1.0,0,0,0,0,Buttes-Chaumont - Belleville
694182,Entire home/apt,2,27,1.0,0,0,0,0,Montmartre
696403,Entire home/apt,2,0,1.0,0,0,0,0,Montmartre
697550,Entire home/apt,4,2,1.0,0,0,0,0,Canal Saint-Martin
698657,Entire home/apt,3,2,1.0,0,0,0,0,Republique
698807,Entire home/apt,3,0,1.0,0,0,0,0,II Arrondissement
700392,Private room,3,0,1.0,0,0,0,0,Nation
702749,Entire home/apt,3,21,1.0,0,0,0,0,Porte de Clignancourt
704192,Entire home/apt,5,2,1.0,0,0,0,0,Le Marais
705433,Entire home/apt,3,47,1.0,0,0,0,0,Gare du Nord - Gare de I'Est
705500,Entire home/apt,5,0,1.0,0,0,0,0,Gare du Nord - Gare de I'Est
711228,Entire home/apt,2,6,1.0,0,0,0,0,Montmartre
713152,Entire home/apt,6,5,1.0,0,0,0,0,Republique
721849,Entire home/apt,5,2,1.0,0,0,0,0,La Chapelle
724370,Entire home/apt,4,9,1.0,0,0,0,0,Pigalle - Saint-Georges
724527,Entire home/apt,2,2,1.0,0,0,0,0,Pere Lachaise - Menilmontant
725651,Entire home/apt,2,15,1.0,0,0,0,0,Gare de Lyon
726886,Entire home/apt,4,6,1.0,0,0,0,0,
727473,Entire home/apt,7,3,1.0,0,0,0,0,XI Arrondissement
731236,Entire home/apt,3,0,1.0,0,0,0,0,Place d'Italie - Quartier Chinois
732706,Entire home/apt,4,3,1.0,0,0,0,0,Pere Lachaise - Menilmontant
733010,Private room,1,10,1.0,0,0,0,0,Monceau
733303,Entire home/apt,7,5,1.0,0,0,0,0,Porte de Clignancourt
739138,Entire home/apt,6,1,1.0,0,0,0,0,Pere Lachaise - Menilmontant
739402,Entire home/apt,4,8,1.0,0,0,0,0,XI Arrondissement
739449,Entire home/apt,7,1,1.0,0,0,0,0,XI Arrondissement
739727,Entire home/apt,1,3,1.0,0,0,0,0,Montmartre
740333,Entire home/apt,2,17,1.0,0,0,0,0,Porte de Versailles
741426,Entire home/apt,2,0,1.0,0,0,0,0,Porte de Clignancourt
741505,Entire home/apt,3,0,1.0,0,0,0,0,Montmartre
741514,Entire home/apt,4,0,1.0,0,0,0,0,
750228,Entire home/apt,5,6,1.0,0,0,0,0,Batignolles
751197,Private room,6,10,1.0,0,0,0,0,Pere Lachaise - Menilmontant
751374,Entire home/apt,2,3,1.0,0,0,0,0,Ternes
751766,Entire home/apt,2,15,1.0,0,0,0,0,Chatelet - Les Halles - Beaubourg
755575,Private room,2,25,1.0,0,0,0,0,Place d'Italie - Quartier Chinois
759166,Entire home/apt,3,13,1.0,0,0,0,0,Tour Eiffel - Champ de Mars
759415,Entire home/apt,1,0,1.0,0,0,0,0,Buttes-Chaumont - Belleville
759861,Entire home/apt,2,38,1.0,0,0,0,0,Gare du Nord - Gare de I'Est
761983,Private room,5,15,1.0,0,0,0,0,Porte de Clignancourt
762159,Entire home/apt,2,1,1.0,0,0,0,0,Republique
764638,Entire home/apt,6,33,1.0,0,0,0,0,Buttes-Chaumont - Belleville
764754,Entire home/apt,3,5,1.0,0,0,0,0,Nation
766130,Entire home/apt,7,10,1.0,0,0,0,0,Bastille
766477,Entire home/apt,1,1,1.0,0,0,0,0,Bastille
766508,Entire home/apt,5,0,1.0,0,0,0,0,Batignolles
766721,Entire home/apt,4,1,1.0,0,0,0,0,Commerce - Dupleix
767133,Entire home/apt,2,0,1.0,0,0,0,0,Gare du Nord - Gare de I'Est
767348,Entire home/apt,3,27,1.0,0,0,0,0,Palais Royal
769443,Entire home/apt,2,4,1.0,0,0,0,0,XI Arrondissement
770526,Entire home/apt,1,4,1.0,0,0,0,0,Pigalle - Saint-Georges
771414,Entire home/apt,4,162,1.0,0,0,0,0,Montmartre
772637,Entire home/apt,3,15,1.0,0,0,0,0,Pere Lachaise - Menilmontant
778555,Entire home/apt,1,89,1.0,0,0,0,0,Gare du Nord - Gare de I'Est
779631,Entire home/apt,2,1,1.0,0,0,0,0,XI Arrondissement
779750,Entire home/apt,4,2,1.0,0,0,0,0,Passy
779804,Entire home/apt,3,40,1.0,0,0,0,0,Palais Royal
780470,Entire home/apt,3,2,1.0,0,0,0,0,Republique
780942,Private room,1,0,1.0,0,0,0,0,La Chapelle
781541,Entire home/apt,4,0,1.0,0,0,0,0,Invalides - Ecole Militaire
